"state","county","sex","total_arc_mean","total_arc_lb","total_arc_ub","daily_arc_mean","daily_arc_lb","daily_arc_ub"
"Georgia","","Both",-1.12,-1.36,-0.86,-2.28,-2.58,-2
"Georgia","Appling County","Males",-1.26,-2.6,0,-2.36,-3.82,-0.94
"Georgia","Appling County","Females",-0.15,-2.01,1.57,-0.88,-2.92,1.08
"Georgia","Appling County","Both",-0.75,-2.36,0.72,-1.68,-3.38,-0.11
"Georgia","Atkinson County","Males",-0.95,-2.19,0.3,-2.18,-3.63,-0.74
"Georgia","Atkinson County","Females",-0.18,-1.94,1.68,-1.46,-3.49,0.66
"Georgia","Atkinson County","Both",-0.61,-2.07,0.95,-1.85,-3.55,-0.12
"Georgia","Bacon County","Males",-0.83,-2.1,0.45,-1.82,-3.28,-0.34
"Georgia","Bacon County","Females",-0.16,-2.1,1.76,-1.24,-3.3,0.94
"Georgia","Bacon County","Both",-0.53,-2.07,0.99,-1.56,-3.26,0.19
"Georgia","Baker County","Males",-0.19,-1.48,1.07,-1.14,-2.72,0.41
"Georgia","Baker County","Females",0.01,-1.95,1.99,-0.69,-2.97,1.55
"Georgia","Baker County","Both",-0.11,-1.65,1.45,-0.95,-2.75,0.83
"Georgia","Baldwin County","Males",-0.97,-2.23,0.25,-1.99,-3.48,-0.46
"Georgia","Baldwin County","Females",-0.22,-2.04,1.67,-1.09,-3.28,1.2
"Georgia","Baldwin County","Both",-0.67,-2.16,0.83,-1.62,-3.35,0.16
"Georgia","Banks County","Males",-1.27,-2.58,0.05,-2.09,-3.52,-0.59
"Georgia","Banks County","Females",-1.01,-2.84,0.83,-1.76,-3.77,0.32
"Georgia","Banks County","Both",-1.15,-2.68,0.4,-1.94,-3.63,-0.25
"Georgia","Barrow County","Males",-1.41,-2.72,-0.09,-2.69,-4.24,-1.24
"Georgia","Barrow County","Females",-1.53,-3.26,0.24,-2.49,-4.52,-0.53
"Georgia","Barrow County","Both",-1.46,-2.96,0.07,-2.6,-4.31,-0.92
"Georgia","Bartow County","Males",-0.96,-2.27,0.33,-2.09,-3.54,-0.71
"Georgia","Bartow County","Females",-0.53,-2.3,1.19,-0.79,-2.85,1.1
"Georgia","Bartow County","Both",-0.76,-2.29,0.74,-1.48,-3.2,0.19
"Georgia","Ben Hill County","Males",-0.93,-2.17,0.35,-1.96,-3.51,-0.53
"Georgia","Ben Hill County","Females",0.25,-1.54,2.12,-0.55,-2.63,1.62
"Georgia","Ben Hill County","Both",-0.41,-1.9,1.09,-1.32,-3.07,0.4
"Georgia","Berrien County","Males",-1.09,-2.38,0.22,-2.24,-3.68,-0.79
"Georgia","Berrien County","Females",0.45,-1.28,2.26,-0.66,-2.64,1.37
"Georgia","Berrien County","Both",-0.35,-1.84,1.15,-1.48,-3.15,0.2
"Georgia","Bibb County","Males",-0.54,-1.76,0.72,-1.78,-3.19,-0.37
"Georgia","Bibb County","Females",-0.92,-2.59,0.83,-1.16,-3.13,0.84
"Georgia","Bibb County","Both",-0.7,-2.1,0.76,-1.52,-3.12,0.1
"Georgia","Bleckley County","Males",-0.61,-1.87,0.58,-1.84,-3.33,-0.38
"Georgia","Bleckley County","Females",-0.94,-2.74,0.84,-1.56,-3.65,0.49
"Georgia","Bleckley County","Both",-0.76,-2.27,0.71,-1.71,-3.45,-0.04
"Georgia","Brantley County","Males",-0.41,-1.6,0.94,-1.16,-2.51,0.18
"Georgia","Brantley County","Females",0.61,-1.04,2.51,-0.31,-2.16,1.71
"Georgia","Brantley County","Both",0.08,-1.34,1.67,-0.76,-2.31,0.91
"Georgia","Brooks County","Males",-0.64,-1.85,0.63,-1.61,-3.07,-0.08
"Georgia","Brooks County","Females",-0.43,-2.21,1.45,-1.39,-3.46,0.83
"Georgia","Brooks County","Both",-0.54,-2,0.97,-1.51,-3.21,0.3
"Georgia","Bryan County","Males",-1.95,-3.34,-0.61,-3.52,-5.16,-1.97
"Georgia","Bryan County","Females",-0.98,-2.89,0.94,-2.29,-4.59,-0.08
"Georgia","Bryan County","Both",-1.5,-3.18,0.12,-2.96,-4.87,-1.15
"Georgia","Bulloch County","Males",-1.06,-2.39,0.18,-2.38,-3.95,-0.91
"Georgia","Bulloch County","Females",-0.07,-1.94,1.84,-1,-3.01,1.09
"Georgia","Bulloch County","Both",-0.64,-2.2,0.85,-1.78,-3.46,-0.11
"Georgia","Burke County","Males",-0.38,-1.68,0.85,-1.45,-2.88,-0.11
"Georgia","Burke County","Females",0.15,-1.8,2.03,-0.21,-2.35,1.87
"Georgia","Burke County","Both",-0.16,-1.77,1.31,-0.94,-2.67,0.65
"Georgia","Butts County","Males",-0.64,-1.91,0.54,-1.73,-3.15,-0.28
"Georgia","Butts County","Females",-0.42,-2.26,1.45,-1.37,-3.5,0.82
"Georgia","Butts County","Both",-0.55,-2.05,0.94,-1.57,-3.24,0.23
"Georgia","Calhoun County","Males",-0.17,-1.41,1.19,-1.38,-2.99,0.12
"Georgia","Calhoun County","Females",-0.24,-2.2,1.87,-1.43,-3.78,0.81
"Georgia","Calhoun County","Both",-0.2,-1.73,1.45,-1.4,-3.32,0.36
"Georgia","Camden County","Males",-1.28,-2.59,0.08,-2.33,-3.76,-0.89
"Georgia","Camden County","Females",-0.55,-2.35,1.27,-1.48,-3.34,0.51
"Georgia","Camden County","Both",-0.94,-2.45,0.6,-1.93,-3.53,-0.25
"Georgia","Candler County","Males",-1.49,-2.86,-0.21,-2.88,-4.36,-1.43
"Georgia","Candler County","Females",-0.69,-2.68,1.28,-1.59,-3.83,0.6
"Georgia","Candler County","Both",-1.14,-2.77,0.4,-2.3,-4.08,-0.57
"Georgia","Carroll County","Males",-1.04,-2.39,0.13,-1.82,-3.26,-0.44
"Georgia","Carroll County","Females",-0.83,-2.62,0.78,-1.34,-3.31,0.44
"Georgia","Carroll County","Both",-0.94,-2.46,0.43,-1.6,-3.26,-0.08
"Georgia","Catoosa County","Males",-1.28,-2.65,-0.09,-2.52,-3.92,-1.19
"Georgia","Catoosa County","Females",-0.91,-2.72,0.73,-1.73,-3.6,0.16
"Georgia","Catoosa County","Both",-1.11,-2.69,0.26,-2.15,-3.7,-0.55
"Georgia","Charlton County","Males",-0.08,-1.28,1.18,-1.38,-2.82,-0.02
"Georgia","Charlton County","Females",-0.34,-2.08,1.53,-1.17,-3.3,0.86
"Georgia","Charlton County","Both",-0.2,-1.65,1.33,-1.28,-3.04,0.35
"Georgia","Chatham County","Males",-0.71,-1.87,0.54,-2.33,-3.65,-0.9
"Georgia","Chatham County","Females",-0.77,-2.25,0.84,-2.22,-3.91,-0.34
"Georgia","Chatham County","Both",-0.74,-2.04,0.65,-2.28,-3.74,-0.67
"Georgia","Chattahoochee County","Males",-1.42,-2.83,0.11,-2.53,-4.19,-0.92
"Georgia","Chattahoochee County","Females",-0.72,-2.82,1.55,-1.67,-3.95,0.61
"Georgia","Chattahoochee County","Both",-1.11,-2.81,0.77,-2.14,-4.09,-0.26
"Georgia","Chattooga County","Males",-0.31,-1.48,0.89,-1.33,-2.63,0.21
"Georgia","Chattooga County","Females",-0.31,-1.91,1.37,-1.42,-3.18,0.68
"Georgia","Chattooga County","Both",-0.31,-1.69,1.1,-1.37,-2.85,0.41
"Georgia","Cherokee County","Males",-1.9,-3.18,-0.62,-3.07,-4.5,-1.59
"Georgia","Cherokee County","Females",-1.7,-3.38,-0.02,-2.27,-4.12,-0.33
"Georgia","Cherokee County","Both",-1.81,-3.23,-0.34,-2.7,-4.31,-1.04
"Georgia","Clarke County","Males",-0.92,-2.36,0.5,-2.28,-4.02,-0.6
"Georgia","Clarke County","Females",-1.23,-3.21,0.8,-2.66,-4.94,-0.33
"Georgia","Clarke County","Both",-1.05,-2.72,0.61,-2.45,-4.45,-0.52
"Georgia","Clay County","Males",-0.15,-1.4,1.16,-1.17,-2.79,0.32
"Georgia","Clay County","Females",0.23,-1.7,2.3,-0.76,-3.12,1.46
"Georgia","Clay County","Both",0.01,-1.52,1.67,-1,-2.91,0.7
"Georgia","Clayton County","Males",-0.99,-2.19,0.11,-2.6,-3.97,-1.2
"Georgia","Clayton County","Females",-1.32,-2.91,0.19,-2.59,-4.44,-0.57
"Georgia","Clayton County","Both",-1.12,-2.47,0.13,-2.6,-4.14,-0.96
"Georgia","Clinch County","Males",-1,-2.25,0.1,-2.02,-3.42,-0.72
"Georgia","Clinch County","Females",-0.82,-2.68,0.81,-2.01,-3.98,-0.15
"Georgia","Clinch County","Both",-0.92,-2.42,0.43,-2.02,-3.62,-0.47
"Georgia","Cobb County","Males",-1.68,-2.89,-0.5,-2.95,-4.33,-1.69
"Georgia","Cobb County","Females",-1.09,-2.54,0.3,-1.83,-3.47,-0.23
"Georgia","Cobb County","Both",-1.41,-2.72,-0.15,-2.43,-3.92,-1.11
"Georgia","Coffee County","Males",-0.73,-1.92,0.57,-1.91,-3.24,-0.52
"Georgia","Coffee County","Females",0.21,-1.47,1.95,-0.81,-2.71,1.17
"Georgia","Coffee County","Both",-0.31,-1.7,1.18,-1.41,-3.02,0.2
"Georgia","Colquitt County","Males",-1.15,-2.55,0.1,-2.24,-3.76,-0.86
"Georgia","Colquitt County","Females",-0.31,-2.16,1.43,-1.54,-3.64,0.44
"Georgia","Colquitt County","Both",-0.77,-2.38,0.71,-1.92,-3.74,-0.3
"Georgia","Columbia County","Males",-2.02,-3.33,-0.66,-3.11,-4.65,-1.52
"Georgia","Columbia County","Females",-1.11,-2.85,0.74,-1.71,-3.78,0.44
"Georgia","Columbia County","Both",-1.62,-3.13,-0.04,-2.49,-4.24,-0.66
"Georgia","Cook County","Males",-1.16,-2.4,0.23,-2.34,-3.77,-0.84
"Georgia","Cook County","Females",0.28,-1.42,2.25,-1,-2.97,1.18
"Georgia","Cook County","Both",-0.5,-1.94,1.13,-1.72,-3.38,0.16
"Georgia","Coweta County","Males",-1.34,-2.71,-0.03,-2,-3.48,-0.43
"Georgia","Coweta County","Females",-1.31,-3.08,0.42,-2.07,-4.04,0.16
"Georgia","Coweta County","Both",-1.33,-2.9,0.16,-2.03,-3.67,-0.17
"Georgia","Crawford County","Males",-0.97,-2.21,0.34,-2.01,-3.44,-0.57
"Georgia","Crawford County","Females",-0.46,-2.26,1.46,-1.09,-3.08,1.1
"Georgia","Crawford County","Both",-0.75,-2.21,0.83,-1.61,-3.28,0.16
"Georgia","Crisp County","Males",-0.33,-1.58,1.04,-1.47,-2.99,0.05
"Georgia","Crisp County","Females",0.16,-1.68,2.16,-0.83,-2.93,1.44
"Georgia","Crisp County","Both",-0.12,-1.63,1.51,-1.19,-2.95,0.59
"Georgia","Dade County","Males",-1.51,-2.89,-0.19,-2.69,-4.3,-1.17
"Georgia","Dade County","Females",-0.56,-2.48,1.23,-1.34,-3.45,0.7
"Georgia","Dade County","Both",-1.05,-2.69,0.48,-2.03,-3.86,-0.36
"Georgia","Dawson County","Males",-1.55,-2.87,-0.27,-2.63,-4.17,-1.15
"Georgia","Dawson County","Females",-0.78,-2.62,1.01,-1.5,-3.47,0.55
"Georgia","Dawson County","Both",-1.18,-2.74,0.3,-2.07,-3.79,-0.33
"Georgia","Decatur County","Males",-0.51,-1.72,0.72,-1.66,-3.1,-0.25
"Georgia","Decatur County","Females",-1.32,-3.06,0.52,-2.05,-4.07,0.01
"Georgia","Decatur County","Both",-0.86,-2.28,0.63,-1.83,-3.5,-0.22
"Georgia","DeKalb County","Males",-1.12,-2.08,0.02,-3.16,-4.41,-1.81
"Georgia","DeKalb County","Females",-0.52,-1.84,0.93,-2.18,-3.81,-0.47
"Georgia","DeKalb County","Both",-0.88,-1.99,0.39,-2.78,-4.16,-1.33
"Georgia","Dodge County","Males",-0.94,-2.29,0.34,-2.24,-3.62,-0.83
"Georgia","Dodge County","Females",-1.29,-3.22,0.6,-2.06,-4.14,0.02
"Georgia","Dodge County","Both",-1.09,-2.7,0.41,-2.16,-3.81,-0.5
"Georgia","Dooly County","Males",0.14,-1.09,1.33,-1.03,-2.48,0.46
"Georgia","Dooly County","Females",-0.17,-2.12,1.81,-0.72,-2.84,1.6
"Georgia","Dooly County","Both",0.01,-1.51,1.53,-0.9,-2.62,0.89
"Georgia","Dougherty County","Males",-0.23,-1.42,1.08,-1.49,-3.01,-0.07
"Georgia","Dougherty County","Females",-0.75,-2.44,1.13,-2.08,-4.16,-0.06
"Georgia","Dougherty County","Both",-0.44,-1.83,1.09,-1.73,-3.52,-0.11
"Georgia","Douglas County","Males",-1.6,-2.9,-0.26,-2.88,-4.22,-1.32
"Georgia","Douglas County","Females",-0.69,-2.33,1.13,-1.93,-3.81,0.19
"Georgia","Douglas County","Both",-1.19,-2.65,0.34,-2.45,-4.02,-0.68
"Georgia","Early County","Males",-0.35,-1.66,1,-1.53,-3.1,-0.09
"Georgia","Early County","Females",-0.06,-2.02,1.92,-0.93,-3.11,1.19
"Georgia","Early County","Both",-0.23,-1.78,1.38,-1.27,-3.1,0.41
"Georgia","Echols County","Males",-1.82,-3.1,-0.55,-2.99,-4.53,-1.51
"Georgia","Echols County","Females",-0.66,-2.48,1.19,-1.61,-3.78,0.58
"Georgia","Echols County","Both",-1.28,-2.83,0.34,-2.35,-4.19,-0.58
"Georgia","Effingham County","Males",-1.13,-2.53,0.12,-2.25,-3.68,-0.76
"Georgia","Effingham County","Females",-0.6,-2.49,1.15,-1.74,-3.76,0.34
"Georgia","Effingham County","Both",-0.89,-2.49,0.57,-2.02,-3.74,-0.33
"Georgia","Elbert County","Males",-0.39,-1.65,0.73,-1.35,-2.84,0.07
"Georgia","Elbert County","Females",-0.37,-2.22,1.35,-1.3,-3.46,0.69
"Georgia","Elbert County","Both",-0.38,-1.87,1.01,-1.33,-3.12,0.27
"Georgia","Emanuel County","Males",-0.66,-1.84,0.59,-1.92,-3.22,-0.45
"Georgia","Emanuel County","Females",-0.49,-2.18,1.33,-0.74,-2.65,1.37
"Georgia","Emanuel County","Both",-0.58,-1.98,0.91,-1.4,-2.95,0.3
"Georgia","Evans County","Males",-0.86,-2.13,0.39,-2.09,-3.65,-0.76
"Georgia","Evans County","Females",-0.34,-2.2,1.53,-1.44,-3.62,0.52
"Georgia","Evans County","Both",-0.63,-2.19,0.9,-1.79,-3.58,-0.21
"Georgia","Fannin County","Males",-0.91,-2.29,0.4,-1.85,-3.33,-0.48
"Georgia","Fannin County","Females",-0.48,-2.32,1.33,-1.52,-3.49,0.52
"Georgia","Fannin County","Both",-0.7,-2.32,0.81,-1.7,-3.42,-0.02
"Georgia","Fayette County","Males",-1.65,-3.03,-0.24,-2.65,-4.31,-1.13
"Georgia","Fayette County","Females",-1.8,-3.7,0.16,-2.85,-5.08,-0.6
"Georgia","Fayette County","Both",-1.72,-3.33,-0.05,-2.74,-4.63,-0.92
"Georgia","Floyd County","Males",-0.74,-1.98,0.46,-2.05,-3.41,-0.74
"Georgia","Floyd County","Females",-0.54,-2.25,1.17,-1.57,-3.58,0.22
"Georgia","Floyd County","Both",-0.65,-2.09,0.77,-1.84,-3.46,-0.39
"Georgia","Forsyth County","Males",-2.54,-3.97,-1.19,-3.87,-5.49,-2.25
"Georgia","Forsyth County","Females",-2.15,-4.14,-0.18,-3.02,-5.19,-0.76
"Georgia","Forsyth County","Both",-2.37,-4.05,-0.77,-3.5,-5.33,-1.63
"Georgia","Franklin County","Males",-0.93,-2.23,0.28,-1.9,-3.32,-0.48
"Georgia","Franklin County","Females",-0.76,-2.64,1.1,-1.77,-3.94,0.31
"Georgia","Franklin County","Both",-0.85,-2.42,0.7,-1.84,-3.55,-0.16
"Georgia","Fulton County","Males",-1.8,-2.95,-0.65,-3.16,-4.53,-1.81
"Georgia","Fulton County","Females",-1.42,-2.81,0,-2.66,-4.43,-0.88
"Georgia","Fulton County","Both",-1.64,-2.89,-0.37,-2.96,-4.49,-1.5
"Georgia","Gilmer County","Males",-0.99,-2.43,0.23,-2.12,-3.76,-0.75
"Georgia","Gilmer County","Females",-0.35,-2.27,1.32,-1.14,-3.33,0.78
"Georgia","Gilmer County","Both",-0.68,-2.34,0.77,-1.65,-3.54,-0.04
"Georgia","Glascock County","Males",-1.24,-2.59,0.08,-2.14,-3.65,-0.71
"Georgia","Glascock County","Females",-0.56,-2.42,1.34,-1.25,-3.38,0.91
"Georgia","Glascock County","Both",-0.92,-2.51,0.65,-1.73,-3.5,-0.04
"Georgia","Glynn County","Males",-0.9,-2.2,0.43,-2.05,-3.61,-0.57
"Georgia","Glynn County","Females",-0.02,-1.77,1.75,-1.31,-3.29,0.68
"Georgia","Glynn County","Both",-0.5,-2,1.02,-1.71,-3.44,-0.06
"Georgia","Gordon County","Males",-0.87,-2.21,0.39,-2.11,-3.62,-0.71
"Georgia","Gordon County","Females",-0.85,-2.7,0.91,-1.59,-3.65,0.56
"Georgia","Gordon County","Both",-0.86,-2.41,0.6,-1.87,-3.57,-0.19
"Georgia","Grady County","Males",-1.08,-2.33,0.18,-2.48,-3.97,-1.06
"Georgia","Grady County","Females",-1.78,-3.59,0.02,-2.52,-4.66,-0.47
"Georgia","Grady County","Both",-1.38,-2.87,0.11,-2.5,-4.25,-0.81
"Georgia","Greene County","Males",-0.91,-2.22,0.36,-2.03,-3.44,-0.59
"Georgia","Greene County","Females",-0.6,-2.51,1.27,-1.65,-3.68,0.37
"Georgia","Greene County","Both",-0.78,-2.33,0.71,-1.86,-3.52,-0.19
"Georgia","Gwinnett County","Males",-1.73,-2.91,-0.5,-3.65,-5.02,-2.26
"Georgia","Gwinnett County","Females",-1.88,-3.37,-0.25,-2.99,-4.82,-1.22
"Georgia","Gwinnett County","Both",-1.8,-3.1,-0.39,-3.38,-4.94,-1.84
"Georgia","Habersham County","Males",-1.47,-2.81,-0.19,-2.44,-3.96,-0.87
"Georgia","Habersham County","Females",-1.05,-2.92,0.81,-1.68,-3.78,0.52
"Georgia","Habersham County","Both",-1.28,-2.86,0.24,-2.08,-3.87,-0.25
"Georgia","Hall County","Males",-1.74,-2.95,-0.46,-2.92,-4.33,-1.54
"Georgia","Hall County","Females",-2.8,-4.46,-1.06,-3.37,-5.25,-1.4
"Georgia","Hall County","Both",-2.2,-3.59,-0.7,-3.12,-4.69,-1.49
"Georgia","Hancock County","Males",0.39,-0.93,1.64,-0.87,-2.34,0.68
"Georgia","Hancock County","Females",0.03,-2.07,2,-0.89,-3.2,1.38
"Georgia","Hancock County","Both",0.24,-1.36,1.8,-0.88,-2.72,0.87
"Georgia","Haralson County","Males",-0.85,-2.21,0.38,-1.64,-3.14,-0.25
"Georgia","Haralson County","Females",-0.65,-2.41,1.07,-1.02,-2.99,0.83
"Georgia","Haralson County","Both",-0.75,-2.3,0.69,-1.34,-3.02,0.25
"Georgia","Harris County","Males",-1.61,-3.03,-0.26,-2.69,-4.27,-1.16
"Georgia","Harris County","Females",-0.53,-2.39,1.39,-1.53,-3.84,0.6
"Georgia","Harris County","Both",-1.13,-2.72,0.46,-2.17,-4.01,-0.41
"Georgia","Hart County","Males",-0.85,-2.14,0.47,-1.97,-3.39,-0.45
"Georgia","Hart County","Females",-0.92,-2.8,1.13,-2.06,-4.24,0.09
"Georgia","Hart County","Both",-0.88,-2.44,0.75,-2.01,-3.74,-0.24
"Georgia","Heard County","Males",-0.62,-1.86,0.69,-1.19,-2.6,0.21
"Georgia","Heard County","Females",-0.34,-2.13,1.61,-0.77,-2.67,1.29
"Georgia","Heard County","Both",-0.49,-1.99,1.13,-1,-2.64,0.67
"Georgia","Henry County","Males",-0.99,-2.2,0.15,-2.72,-4.18,-1.29
"Georgia","Henry County","Females",-2.24,-3.98,-0.59,-3.73,-5.92,-1.68
"Georgia","Henry County","Both",-1.53,-2.97,-0.17,-3.15,-4.94,-1.46
"Georgia","Houston County","Males",-1.37,-2.63,-0.11,-2.75,-4.16,-1.43
"Georgia","Houston County","Females",-1.99,-3.71,-0.3,-2.47,-4.36,-0.65
"Georgia","Houston County","Both",-1.65,-3.11,-0.21,-2.62,-4.25,-1.05
"Georgia","Irwin County","Males",-0.33,-1.62,0.88,-1.36,-2.9,-0.02
"Georgia","Irwin County","Females",0.51,-1.35,2.21,-0.56,-2.65,1.34
"Georgia","Irwin County","Both",0.06,-1.48,1.49,-0.99,-2.81,0.57
"Georgia","Jackson County","Males",-1.54,-2.78,-0.25,-2.73,-4.1,-1.3
"Georgia","Jackson County","Females",-1.67,-3.4,0.19,-2.66,-4.65,-0.54
"Georgia","Jackson County","Both",-1.6,-3.04,-0.05,-2.7,-4.35,-0.96
"Georgia","Jasper County","Males",-1.16,-2.44,0.25,-2.11,-3.55,-0.57
"Georgia","Jasper County","Females",-0.47,-2.37,1.53,-1.25,-3.26,0.94
"Georgia","Jasper County","Both",-0.85,-2.42,0.82,-1.72,-3.4,0.08
"Georgia","Jeff Davis County","Males",-1.45,-2.78,-0.2,-2.62,-4.06,-1.22
"Georgia","Jeff Davis County","Females",-0.65,-2.52,1.17,-1.71,-3.71,0.3
"Georgia","Jeff Davis County","Both",-1.09,-2.65,0.4,-2.2,-3.9,-0.52
"Georgia","Jefferson County","Males",-0.7,-2.07,0.53,-1.88,-3.41,-0.38
"Georgia","Jefferson County","Females",-0.45,-2.48,1.45,-0.93,-3.1,1.17
"Georgia","Jefferson County","Both",-0.6,-2.25,0.93,-1.48,-3.27,0.24
"Georgia","Jenkins County","Males",-0.94,-2.16,0.24,-2.41,-4.01,-1.04
"Georgia","Jenkins County","Females",0.12,-1.77,1.91,-0.59,-2.76,1.4
"Georgia","Jenkins County","Both",-0.48,-1.99,0.96,-1.61,-3.41,-0.01
"Georgia","Johnson County","Males",-0.14,-1.31,1.07,-1.35,-2.74,0.07
"Georgia","Johnson County","Females",-0.67,-2.36,1.1,-1.25,-3.13,0.78
"Georgia","Johnson County","Both",-0.37,-1.76,1.1,-1.3,-2.91,0.38
"Georgia","Jones County","Males",-1.08,-2.28,0.18,-2.01,-3.4,-0.53
"Georgia","Jones County","Females",-0.78,-2.53,1.05,-1.33,-3.22,0.78
"Georgia","Jones County","Both",-0.95,-2.38,0.52,-1.71,-3.33,0.05
"Georgia","Lamar County","Males",-0.76,-2.02,0.58,-1.86,-3.27,-0.35
"Georgia","Lamar County","Females",-0.33,-2.12,1.64,-1.47,-3.54,0.68
"Georgia","Lamar County","Both",-0.57,-2.07,1.06,-1.68,-3.32,0.09
"Georgia","Lanier County","Males",-0.86,-2.07,0.42,-1.92,-3.34,-0.41
"Georgia","Lanier County","Females",-0.22,-1.99,1.62,-1.12,-3.16,1.07
"Georgia","Lanier County","Both",-0.57,-2.02,0.95,-1.56,-3.23,0.16
"Georgia","Laurens County","Males",-0.8,-1.98,0.36,-2.11,-3.5,-0.79
"Georgia","Laurens County","Females",-0.7,-2.28,0.91,-1.3,-2.97,0.56
"Georgia","Laurens County","Both",-0.75,-2.1,0.58,-1.74,-3.25,-0.22
"Georgia","Lee County","Males",-0.47,-1.85,0.79,-1.29,-2.75,0.2
"Georgia","Lee County","Females",-0.24,-2.22,1.59,-1.25,-3.31,0.75
"Georgia","Lee County","Both",-0.37,-2.01,1.12,-1.27,-2.95,0.45
"Georgia","Liberty County","Males",-0.84,-2.16,0.61,-2.23,-3.84,-0.71
"Georgia","Liberty County","Females",-0.48,-2.29,1.49,-1.36,-3.58,0.87
"Georgia","Liberty County","Both",-0.68,-2.23,0.99,-1.85,-3.71,-0.01
"Georgia","Lincoln County","Males",-0.73,-2.08,0.57,-1.79,-3.16,-0.27
"Georgia","Lincoln County","Females",0.34,-1.63,2.24,-0.31,-2.38,1.86
"Georgia","Lincoln County","Both",-0.26,-1.86,1.29,-1.13,-2.8,0.61
"Georgia","Long County","Males",-1.13,-2.38,0.13,-2.15,-3.69,-0.76
"Georgia","Long County","Females",-0.5,-2.22,1.39,-1.54,-3.62,0.47
"Georgia","Long County","Both",-0.84,-2.33,0.72,-1.86,-3.63,-0.24
"Georgia","Lowndes County","Males",-1.11,-2.33,0.1,-2.42,-3.78,-0.95
"Georgia","Lowndes County","Females",-0.08,-1.77,1.65,-0.89,-2.79,1.25
"Georgia","Lowndes County","Both",-0.66,-2.07,0.76,-1.75,-3.32,-0.06
"Georgia","Lumpkin County","Males",-1.75,-3.12,-0.45,-2.81,-4.31,-1.33
"Georgia","Lumpkin County","Females",-1.57,-3.39,0.21,-2.4,-4.4,-0.4
"Georgia","Lumpkin County","Both",-1.66,-3.24,-0.14,-2.62,-4.35,-0.95
"Georgia","McDuffie County","Males",-0.42,-1.6,0.73,-1.59,-3.06,-0.22
"Georgia","McDuffie County","Females",-0.53,-2.23,1.23,-1.11,-3.16,0.89
"Georgia","McDuffie County","Both",-0.47,-1.88,0.93,-1.38,-3.08,0.21
"Georgia","McIntosh County","Males",-0.66,-1.96,0.61,-1.65,-3.08,-0.23
"Georgia","McIntosh County","Females",0.07,-1.84,1.9,-1.15,-3.27,0.92
"Georgia","McIntosh County","Both",-0.33,-1.86,1.18,-1.43,-3.18,0.31
"Georgia","Macon County","Males",0.22,-0.88,1.56,-1.13,-2.6,0.39
"Georgia","Macon County","Females",-0.9,-2.66,1.17,-1.47,-3.69,0.91
"Georgia","Macon County","Both",-0.24,-1.61,1.38,-1.27,-3,0.52
"Georgia","Madison County","Males",-0.38,-1.6,0.77,-1.25,-2.52,0.19
"Georgia","Madison County","Females",-0.7,-2.41,1.03,-1.85,-3.8,0.13
"Georgia","Madison County","Both",-0.53,-1.98,0.88,-1.52,-3.08,0.18
"Georgia","Marion County","Males",-0.22,-1.42,1.02,-1.13,-2.54,0.28
"Georgia","Marion County","Females",0.42,-1.42,2.34,-0.53,-2.55,1.52
"Georgia","Marion County","Both",0.06,-1.4,1.63,-0.86,-2.57,0.81
"Georgia","Meriwether County","Males",-0.34,-1.58,0.9,-1.17,-2.59,0.27
"Georgia","Meriwether County","Females",0.16,-1.63,1.97,-0.56,-2.61,1.54
"Georgia","Meriwether County","Both",-0.12,-1.61,1.35,-0.9,-2.55,0.82
"Georgia","Miller County","Males",-0.84,-2.26,0.42,-1.81,-3.29,-0.4
"Georgia","Miller County","Females",-0.29,-2.25,1.57,-1.15,-3.3,0.92
"Georgia","Miller County","Both",-0.59,-2.24,0.95,-1.51,-3.28,0.17
"Georgia","Mitchell County","Males",-0.45,-1.59,0.72,-1.52,-2.97,-0.13
"Georgia","Mitchell County","Females",-0.75,-2.51,1.1,-1.44,-3.57,0.6
"Georgia","Mitchell County","Both",-0.58,-1.97,0.87,-1.49,-3.21,0.13
"Georgia","Monroe County","Males",-0.64,-1.96,0.71,-1.56,-3.08,-0.07
"Georgia","Monroe County","Females",-0.3,-2.22,1.71,-1,-3.22,1.13
"Georgia","Monroe County","Both",-0.49,-2.07,1.16,-1.32,-3.15,0.38
"Georgia","Montgomery County","Males",-0.89,-2.19,0.4,-2.13,-3.68,-0.6
"Georgia","Montgomery County","Females",-0.13,-2.07,1.8,-1.18,-3.42,1.04
"Georgia","Montgomery County","Both",-0.56,-2.14,1,-1.71,-3.53,0.11
"Georgia","Morgan County","Males",-1.4,-2.78,-0.14,-2.43,-3.96,-0.93
"Georgia","Morgan County","Females",-0.54,-2.52,1.29,-1.62,-3.78,0.59
"Georgia","Morgan County","Both",-1.02,-2.72,0.49,-2.07,-3.87,-0.33
"Georgia","Murray County","Males",-0.53,-1.76,0.61,-1.45,-2.95,-0.19
"Georgia","Murray County","Females",-0.41,-2.14,1.28,-1.41,-3.39,0.47
"Georgia","Murray County","Both",-0.47,-1.94,0.93,-1.43,-3.13,0.1
"Georgia","Muscogee County","Males",-0.31,-1.55,0.87,-1.5,-2.96,-0.05
"Georgia","Muscogee County","Females",-0.74,-2.29,0.76,-1.8,-3.61,0.01
"Georgia","Muscogee County","Both",-0.49,-1.89,0.82,-1.63,-3.21,-0.05
"Georgia","Newton County","Males",-0.92,-2.26,0.25,-2.33,-3.81,-0.87
